class,label,precision,recall,f1,support,baseline_recall_nb03,baseline_f1_nb03,recall_delta_vs_nb03
angry,0,0.5128205128205128,0.5139186295503212,0.5133689839572193,467,0.3340471092077088,0.3553530751708428,0.1798715203426124
disgust,1,0.717948717948718,0.5,0.5894736842105263,56,0.2142857142857142,0.2962962962962963,0.2857142857142858
fear,2,0.5138004246284501,0.4879032258064516,0.500517063081696,496,0.2237903225806451,0.2764632627646326,0.2641129032258065
happy,3,0.798941798941799,0.8435754189944135,0.8206521739130435,895,0.6167597765363129,0.6276293348493462,0.2268156424581006
neutral,4,0.5342261904761905,0.5914332784184514,0.5613760750586395,607,0.57166392092257,0.458994708994709,0.01976935749588138
sad,5,0.5564924114671164,0.5053598774885145,0.5296950240770465,653,0.4119448698315467,0.4014925373134328,0.09341500765696781
surprise,6,0.7830423940149626,0.7566265060240964,0.7696078431372549,415,0.6457831325301204,0.6658385093167701,0.110843373493976
