model_selection,upscale,input_px,n_images,detection_rate,mean_top_confidence,median_top_confidence,mean_bbox_rel_area,elapsed_s
0,1,48,3000,0.9996666666666667,0.7219022698265666,0.7399879097938538,0.6998095140509799,7.752954959869385
0,2,96,3000,0.9996666666666667,0.7225459412599889,0.7435024380683899,0.7063554966817642,8.506994485855103
0,4,192,3000,0.9996666666666667,0.7238545681027898,0.7435140609741211,0.7006824811829638,9.411485433578491
1,1,48,3000,0.8446666666666667,0.33442597972389365,0.31825771927833557,0.505906134898711,17.635675191879272
1,2,96,3000,0.8713333333333333,0.33060025825651895,0.3107701689004898,0.47588725804694804,16.675407648086548
1,4,192,3000,0.8296666666666667,0.3223506511245544,0.2998342216014862,0.47721278965992026,16.524811267852783
