tag,stage,augmentation,unfreeze,bn_mode,weighting,seed,best_epoch,epochs_run,val_accuracy,val_macro_f1,train_seconds,fine_tune_at,backbone_layers,trainable_backbone_layers,bn_layers_trainable,bn_layers_total,trainable_params,total_params,precision_angry,recall_angry,f1_angry,support_angry,precision_disgust,recall_disgust,f1_disgust,support_disgust,precision_fear,recall_fear,f1_fear,support_fear,precision_happy,recall_happy,f1_happy,support_happy,precision_neutral,recall_neutral,f1_neutral,support_neutral,precision_sad,recall_sad,f1_sad,support_sad,precision_surprise,recall_surprise,f1_surprise,support_surprise
A_aug-off_shallow_bn_frozen_unweighted_s42,A,off,SHALLOW,bn_frozen,unweighted,42,15,23,0.5828921705210365,0.5675033685030707,354.1741952896118,135,155,13,0,52,1050247,2266951,0.4444444444444444,0.44539614561027835,0.4449197860962567,467,0.6666666666666666,0.5,0.5714285714285714,56,0.5062972292191436,0.40524193548387094,0.4501679731243001,496,0.7221095334685599,0.7955307262569833,0.7570441254651781,895,0.5172413793103449,0.5189456342668863,0.5180921052631579,607,0.4738292011019284,0.5267993874425727,0.49891225525743294,653,0.7867036011080333,0.6843373493975904,0.7319587628865979,415
A_aug-on_shallow_bn_frozen_unweighted_s42,A,on,SHALLOW,bn_frozen,unweighted,42,34,40,0.5870716076901644,0.5609580745898358,600.310985326767,135,155,13,0,52,1050247,2266951,0.49678800856531047,0.49678800856531047,0.49678800856531047,467,0.7777777777777778,0.375,0.5060240963855421,56,0.518918918918919,0.3870967741935484,0.44341801385681295,496,0.7272727272727273,0.8044692737430168,0.7639257294429708,895,0.4992679355783309,0.5617792421746294,0.5286821705426357,607,0.4777947932618683,0.4777947932618683,0.4777947932618683,653,0.7243107769423559,0.6963855421686747,0.7100737100737101,415
B_aug-off_deep_bn_frozen_unweighted_s42,B,off,DEEP,bn_frozen,unweighted,42,29,37,0.6319308999721371,0.6120986924907751,487.35646986961365,100,155,37,0,52,1848583,2266951,0.5128205128205128,0.5139186295503212,0.5133689839572193,467,0.717948717948718,0.5,0.5894736842105263,56,0.5138004246284501,0.4879032258064516,0.500517063081696,496,0.798941798941799,0.8435754189944135,0.8206521739130435,895,0.5342261904761905,0.5914332784184514,0.5613760750586395,607,0.5564924114671164,0.5053598774885145,0.5296950240770465,653,0.7830423940149626,0.7566265060240964,0.7696078431372549,415
C_aug-off_deep_bn_trainable_unweighted_s42,C,off,DEEP,bn_trainable,unweighted,42,35,40,0.6046252438005015,0.5839979557288363,577.369542837143,100,155,55,18,52,1870407,2266951,0.502092050209205,0.5139186295503212,0.5079365079365079,467,0.627906976744186,0.48214285714285715,0.5454545454545454,56,0.4906054279749478,0.4737903225806452,0.48205128205128206,496,0.7786096256684492,0.8134078212290503,0.7956284153005464,895,0.5209003215434084,0.5337726523887973,0.5272579332790887,607,0.49682539682539684,0.4793261868300153,0.48791893998441155,653,0.753731343283582,0.7301204819277108,0.7417380660954712,415
D_aug-off_deep_bn_frozen_balanced_s42,D,off,DEEP,bn_frozen,balanced,42,21,29,0.619671217609362,0.6004661579883797,393.9619641304016,100,155,37,0,52,1848583,2266951,0.5029940119760479,0.5396145610278372,0.5206611570247934,467,0.6,0.5357142857142857,0.5660377358490566,56,0.5277108433734939,0.4415322580645161,0.4807903402854007,496,0.7852631578947369,0.8335195530726257,0.8086720867208672,895,0.5435816164817749,0.5650741350906096,0.5541195476575121,607,0.49444444444444446,0.5451761102603369,0.5185724690458849,653,0.8633540372670807,0.6698795180722892,0.7544097693351425,415
E_aug-off_deep_bn_frozen_unweighted_s1337,E,off,DEEP,bn_frozen,unweighted,1337,35,40,0.6291446085260518,0.6014371066856282,520.595894575119,100,155,37,0,52,1848583,2266951,0.5315126050420168,0.5417558886509636,0.5365853658536586,467,0.6097560975609756,0.44642857142857145,0.5154639175257731,56,0.5497630331753555,0.46774193548387094,0.5054466230936819,496,0.8070175438596491,0.8223463687150838,0.8146098505810736,895,0.5333333333333333,0.5535420098846787,0.5432497978981407,607,0.5212922173274597,0.5436447166921899,0.5322338830584707,653,0.7517564402810304,0.7734939759036145,0.7624703087885986,415
E_aug-off_deep_bn_frozen_unweighted_s2024,E,off,DEEP,bn_frozen,unweighted,2024,37,40,0.6191139593201449,0.605433926155804,522.3873724937439,100,155,37,0,52,1848583,2266951,0.5292841648590022,0.5224839400428265,0.5258620689655172,467,0.8181818181818182,0.48214285714285715,0.6067415730337079,56,0.4784394250513347,0.46975806451612906,0.474059003051882,496,0.8070175438596491,0.8223463687150838,0.8146098505810736,895,0.5411184210526315,0.5420098846787479,0.5415637860082304,607,0.49572649572649574,0.5329249617151608,0.5136531365313654,653,0.7901554404145078,0.7349397590361446,0.7615480649188514,415
