class,label,precision,recall,f1,support
angry,0,0.3795620437956204,0.3340471092077088,0.3553530751708428,467
disgust,1,0.48,0.21428571428571427,0.2962962962962963,56
fear,2,0.36156351791530944,0.22379032258064516,0.2764632627646326,496
happy,3,0.6388888888888888,0.6167597765363129,0.6276293348493462,895
neutral,4,0.3834254143646409,0.57166392092257,0.458994708994709,607
sad,5,0.3915574963609898,0.4119448698315467,0.4014925373134328,653
surprise,6,0.6871794871794872,0.6457831325301204,0.6658385093167701,415
