tag,seed,resolution,weighting,epochs_run,best_epoch,val_accuracy,val_macro_f1,train_seconds,precision_angry,recall_angry,f1_angry,support_angry,precision_disgust,recall_disgust,f1_disgust,support_disgust,precision_fear,recall_fear,f1_fear,support_fear,precision_happy,recall_happy,f1_happy,support_happy,precision_neutral,recall_neutral,f1_neutral,support_neutral,precision_sad,recall_sad,f1_sad,support_sad,precision_surprise,recall_surprise,f1_surprise,support_surprise
res96_unweighted,42,96,unweighted,44,34,0.47784898300362216,0.4402953892437185,24.805774927139282,0.3795620437956204,0.3340471092077088,0.3553530751708428,467,0.48,0.21428571428571427,0.2962962962962963,56,0.36156351791530944,0.22379032258064516,0.2764632627646326,496,0.6388888888888888,0.6167597765363129,0.6276293348493462,895,0.3834254143646409,0.57166392092257,0.458994708994709,607,0.3915574963609898,0.4119448698315467,0.4014925373134328,653,0.6871794871794872,0.6457831325301204,0.6658385093167701,415
res96_balanced,42,96,balanced,42,32,0.46447478406241294,0.42355117058183067,24.61751914024353,0.3583138173302108,0.32762312633832974,0.3422818791946309,467,0.13138686131386862,0.6428571428571429,0.21818181818181817,56,0.35344827586206895,0.24798387096774194,0.2914691943127962,496,0.6670776818742293,0.6044692737430167,0.634232121922626,895,0.41768707482993195,0.5057660626029654,0.45752608047690013,607,0.41106719367588934,0.31852986217457885,0.35893011216566006,653,0.6127049180327869,0.7204819277108434,0.6622369878183831,415
res96_unweighted,1337,96,unweighted,46,36,0.47645583728057955,0.4288024925248048,26.937456369400024,0.3308270676691729,0.47109207708779444,0.38869257950530034,467,0.6428571428571429,0.16071428571428573,0.2571428571428571,56,0.4148936170212766,0.15725806451612903,0.22807017543859648,496,0.6265193370165746,0.6335195530726258,0.63,895,0.4521575984990619,0.3970345963756178,0.42280701754385963,607,0.3710462287104623,0.4670750382848392,0.4135593220338983,653,0.6277056277056277,0.6987951807228916,0.661345496009122,415
res96_balanced,1337,96,balanced,54,44,0.45388687656728893,0.40876830952932997,28.890439748764038,0.3118594436310395,0.45610278372591007,0.37043478260869567,467,0.13551401869158877,0.5178571428571429,0.21481481481481482,56,0.375,0.1814516129032258,0.24456521739130435,496,0.6910785619174434,0.5798882681564246,0.6306196840826246,895,0.46882217090069284,0.3344316309719934,0.3903846153846154,607,0.3972602739726027,0.3996937212863706,0.3984732824427481,653,0.513911620294599,0.7566265060240964,0.6120857699805068,415
res96_unweighted,2024,96,unweighted,42,32,0.4831429367511842,0.43796561602641615,24.481417417526245,0.3541284403669725,0.4132762312633833,0.3814229249011858,467,0.47619047619047616,0.17857142857142858,0.2597402597402597,56,0.3885542168674699,0.2600806451612903,0.3115942028985507,496,0.5532994923857868,0.7307262569832402,0.6297544535387578,895,0.4281298299845441,0.45634266886326197,0.44178628389154706,607,0.42413162705667273,0.3552833078101072,0.38666666666666666,653,0.7587301587301587,0.5759036144578313,0.6547945205479452,415
res96_balanced,2024,96,balanced,22,12,0.46001671774867653,0.4215545571190024,12.732022523880005,0.32269503546099293,0.3897216274089936,0.3530552861299709,467,0.10555555555555556,0.6785714285714286,0.18269230769230768,56,0.38198757763975155,0.24798387096774194,0.30073349633251834,496,0.645123384253819,0.6134078212290502,0.6288659793814433,895,0.45977011494252873,0.3953871499176277,0.42515500442869797,607,0.4375,0.3430321592649311,0.384549356223176,653,0.6441048034934498,0.7108433734939759,0.6758304696449027,415
res128_unweighted,42,128,unweighted,30,20,0.4931735859570911,0.4356092313317452,16.846497535705566,0.3900523560209424,0.31905781584582443,0.3510011778563015,467,0.5833333333333334,0.125,0.20588235294117646,56,0.386986301369863,0.22782258064516128,0.2868020304568528,496,0.6456953642384106,0.6536312849162011,0.6496390893947807,895,0.3936750272628135,0.5947281713344317,0.473753280839895,607,0.4185667752442997,0.39356814701378257,0.40568271507498027,653,0.6394849785407726,0.7180722891566265,0.6765039727582293,415
res128_balanced,42,128,balanced,36,26,0.46001671774867653,0.41090786485349934,20.81467628479004,0.3987341772151899,0.2698072805139186,0.3218390804597701,467,0.10714285714285714,0.5892857142857143,0.1813186813186813,56,0.32887700534759357,0.24798387096774194,0.2827586206896552,496,0.6615017878426699,0.6201117318435754,0.6401384083044983,895,0.4158415841584158,0.4843492586490939,0.4474885844748858,607,0.4336842105263158,0.31546707503828486,0.36524822695035464,653,0.5508771929824562,0.7566265060240964,0.6375634517766497,415
res128_unweighted,1337,128,unweighted,48,38,0.4834215658957927,0.43135431506186356,30.058876752853394,0.3396880415944541,0.4197002141327623,0.37547892720306514,467,0.5384615384615384,0.125,0.2028985507246377,56,0.3588850174216028,0.20766129032258066,0.26309067688378035,496,0.6381156316916489,0.6659217877094972,0.6517222525970475,895,0.453382084095064,0.4085667215815486,0.42980935875216636,607,0.36835748792270534,0.4670750382848392,0.41188386225523294,653,0.6947890818858561,0.6746987951807228,0.684596577017115,415
res128_balanced,1337,128,balanced,31,21,0.45583728057954864,0.4159279553097986,18.254154205322266,0.313953488372093,0.4625267665952891,0.37402597402597404,467,0.09939759036144578,0.5892857142857143,0.17010309278350516,56,0.3713235294117647,0.20362903225806453,0.2630208333333333,496,0.6963562753036437,0.576536312849162,0.6308068459657702,895,0.48366013071895425,0.3657331136738056,0.4165103189493433,607,0.4066115702479339,0.3767228177641654,0.39109697933227344,653,0.6138211382113821,0.727710843373494,0.6659316427783903,415
res128_unweighted,2024,128,unweighted,48,38,0.49679576483700194,0.4463139630096033,29.551722288131714,0.3446054750402576,0.4582441113490364,0.39338235294117646,467,0.5,0.16071428571428573,0.24324324324324326,56,0.3860294117647059,0.21169354838709678,0.2734375,496,0.6236345580933466,0.7016759776536313,0.6603575184016824,895,0.423562412342216,0.4975288303130148,0.4575757575757576,607,0.431858407079646,0.37366003062787134,0.4006568144499179,653,0.7150127226463104,0.6771084337349398,0.6955445544554455,415
res128_balanced,2024,128,balanced,36,26,0.4547227640011145,0.4077666078510254,21.33696460723877,0.32368896925858953,0.38329764453961457,0.3509803921568627,467,0.09018567639257294,0.6071428571428571,0.15704387990762125,56,0.38288288288288286,0.17137096774193547,0.23676880222841226,496,0.6646919431279621,0.6268156424581005,0.6451983898792409,895,0.4688715953307393,0.3970345963756178,0.4299732381801962,607,0.405,0.3721286370597244,0.38786911412609737,653,0.6033402922755741,0.6963855421686747,0.6465324384787472,415
