candidate,rule,macro_f1,calm_p,calm_r,calm_f1,neutral_p,neutral_r,neutral_f1,distressed_p,distressed_r,distressed_f1,pred_frac_calm,pred_frac_neutral,pred_frac_distressed,distressed_rate,degenerate_collapse
M1,A,0.7623910418646022,0.798941798941799,0.8435754189944135,0.8206521739130435,0.6598322460391426,0.6927592954990215,0.6758949880668258,0.8160407383831955,0.7667464114832536,0.7906259636139377,0.2633045416550571,0.29896907216494845,0.43772638617999443,0.43772638617999443,False
M1,B,0.7614150296379276,0.8316268486916951,0.8167597765363128,0.8241262683201804,0.6981339187705817,0.6223091976516634,0.6580444904293844,0.773763201778766,0.8325358851674641,0.8020743301642178,0.2449150181108944,0.2538311507383672,0.5012538311507384,0.5012538311507384,False
M2,A,0.7433401217521607,0.798941798941799,0.8435754189944135,0.8206521739130435,0.5342261904761905,0.5914332784184514,0.5613760750586395,0.8727180527383367,0.8246286535697173,0.8479921162847992,0.2633045416550571,0.18723878517692952,0.5494566731680134,0.5494566731680134,False
M2,B,0.7267460021992674,0.8375870069605569,0.8067039106145252,0.8218554354012522,0.5838779956427015,0.4415156507413509,0.5028142589118199,0.8214285714285714,0.8926689027311931,0.8555683122847302,0.24017832265254946,0.12789077737531346,0.6319308999721371,0.6319308999721371,False
M3,A,0.7590616624610244,0.798941798941799,0.8435754189944135,0.8206521739130435,0.6672661870503597,0.6883116883116883,0.6776255707762557,0.8002610966057441,0.7586633663366337,0.7789072426937739,0.2633045416550571,0.309835608804681,0.4268598495402619,0.4268598495402619,False
M3,B,0.7579421723437715,0.8295454545454546,0.8156424581005587,0.8225352112676056,0.698249227600412,0.6289424860853432,0.6617862371888726,0.761795166858458,0.8193069306930693,0.789505068574836,0.24519364725550294,0.2705488994148788,0.4842574533296183,0.4842574533296183,False
M4,A,0.7260187518466822,0.8150074294205052,0.8374045801526717,0.8260542168674698,0.5342261904761905,0.5914332784184514,0.5613760750586395,0.8160407383831955,0.7667464114832536,0.7906259636139377,0.3750348286430761,0.18723878517692952,0.43772638617999443,0.43772638617999443,False
M4,B,0.7155540393432829,0.8395931142410016,0.8190839694656489,0.8292117465224111,0.5755102040816327,0.4645799011532125,0.5141294439380127,0.7704557935200439,0.8391148325358851,0.8033209275694245,0.3560880468096963,0.13652828085817775,0.5073836723321259,0.5073836723321259,False
